crop,soil_type,nitrogen_min,nitrogen_max,phosphorus_min,phosphorus_max,potassium_min,potassium_max,ph_min,ph_max,temp_min,temp_max,humidity_min,humidity_max,rain_min,rain_max,moisture_min,moisture_max,season
Alstonia Schol.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1200.0,2500.0,50.0,70.0,long_term
Terminalia Arj.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Terminalia Bel.,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Terminalia Che.,rocky/dry,30.0,50.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1000.0,30.0,50.0,long_term
Pongamia Pin.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,1000.0,30.0,50.0,long_term
Azadirachta In.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.2,7.0,25.0,40.0,40.0,60.0,400.0,1000.0,30.0,40.0,long_term
Melia Azedar.,red_laterite,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.0,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Tectona Grandis,loamy,50.0,70.0,30.0,40.0,40.0,50.0,6.5,7.5,25.0,35.0,60.0,80.0,1200.0,2000.0,40.0,60.0,long_term
Santalum Album,red_laterite,20.0,40.0,10.0,20.0,10.0,20.0,6.0,7.5,25.0,35.0,50.0,60.0,600.0,1200.0,30.0,50.0,long_term
Pterocarpus San,red_laterite,20.0,40.0,10.0,20.0,10.0,20.0,6.0,7.5,25.0,40.0,40.0,50.0,500.0,1000.0,20.0,40.0,long_term
Dalbergia Lat.,loamy,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.0,20.0,35.0,60.0,80.0,1000.0,2500.0,40.0,60.0,long_term
Dalbergia Sis.,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,20.0,40.0,40.0,60.0,800.0,1500.0,30.0,50.0,long_term
Acacia Niloti.,clay,20.0,30.0,10.0,20.0,10.0,20.0,6.5,8.5,25.0,45.0,30.0,50.0,300.0,800.0,20.0,40.0,long_term
Acacia Leucop.,sandy,20.0,30.0,10.0,20.0,10.0,20.0,6.5,8.5,25.0,45.0,30.0,50.0,300.0,800.0,20.0,40.0,long_term
Acacia Catechu,rocky/dry,20.0,30.0,10.0,20.0,10.0,20.0,6.5,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,long_term
Prosopis Juli.,sandy,20.0,30.0,10.0,20.0,10.0,20.0,6.5,9.0,25.0,45.0,30.0,50.0,200.0,800.0,10.0,30.0,invasive
Casuarina Equ.,sandy,30.0,40.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,35.0,60.0,80.0,800.0,1500.0,40.0,60.0,long_term
Eucalyptus Gl.,sandy_loam,60.0,80.0,40.0,50.0,40.0,50.0,5.5,6.5,20.0,35.0,50.0,60.0,800.0,1200.0,40.0,60.0,long_term
Grevillea Rob.,loamy,40.0,60.0,30.0,40.0,30.0,40.0,5.5,6.5,15.0,25.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Toona Ciliata,loamy,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.0,20.0,30.0,60.0,80.0,1200.0,2500.0,50.0,70.0,long_term
Gmelina Arbor.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Haldina Cord.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Swietenia Mac.,clay_loam,50.0,70.0,30.0,40.0,30.0,40.0,6.0,7.5,20.0,30.0,60.0,80.0,1500.0,2500.0,50.0,70.0,long_term
Ailanthus Exc.,sandy,30.0,40.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,1000.0,30.0,50.0,long_term
Anthocephalus,clay_loam,60.0,80.0,40.0,50.0,40.0,50.0,5.5,7.0,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,80.0,long_term
Madhuca Longi.,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1200.0,30.0,50.0,long_term
Ficus Bengal.,clay_loam,30.0,40.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,1500.0,30.0,50.0,long_term
Ficus Religio.,loamy,30.0,40.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,1500.0,30.0,50.0,long_term
Ficus Racemo.,clay_loam,30.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,40.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Artocarpus In.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1500.0,2000.0,50.0,70.0,long_term
Artocarpus Hi.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.0,25.0,35.0,70.0,90.0,2000.0,3000.0,60.0,80.0,long_term
Ceiba Pentan.,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Hevea Brasil.,red_laterite,40.0,60.0,30.0,40.0,30.0,40.0,4.5,6.0,25.0,35.0,75.0,85.0,2000.0,3000.0,70.0,90.0,long_term
Caryota Urens,clay_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,70.0,90.0,1500.0,2500.0,60.0,80.0,long_term
Borassus Flab.,sandy,20.0,40.0,20.0,30.0,30.0,40.0,6.5,8.5,25.0,45.0,40.0,70.0,400.0,1000.0,20.0,40.0,long_term
Cocos Nucifera,sandy,100.0,150.0,50.0,75.0,150.0,200.0,5.2,8.0,25.0,30.0,70.0,80.0,1500.0,2500.0,60.0,80.0,long_term
Areca Catechu,red_laterite,80.0,120.0,40.0,60.0,80.0,120.0,5.5,7.0,20.0,30.0,70.0,80.0,2000.0,3000.0,60.0,80.0,long_term
Elaeis Guine.,loamy,100.0,150.0,50.0,80.0,150.0,200.0,5.5,7.0,25.0,35.0,75.0,85.0,2000.0,3000.0,70.0,90.0,long_term
Phoenix Sylv.,sandy,20.0,40.0,20.0,30.0,30.0,40.0,6.0,8.0,25.0,40.0,40.0,60.0,400.0,800.0,20.0,40.0,long_term
Calamus Rot.,peaty,40.0,60.0,30.0,40.0,30.0,40.0,5.5,6.5,25.0,35.0,70.0,90.0,2000.0,3000.0,70.0,90.0,long_term
Bambusa Bam.,loamy,60.0,80.0,30.0,40.0,30.0,40.0,5.0,6.5,20.0,35.0,60.0,80.0,1200.0,2500.0,50.0,70.0,long_term
Dendrocalamus,loamy,60.0,80.0,40.0,50.0,40.0,50.0,5.5,6.5,20.0,35.0,60.0,80.0,1500.0,2500.0,50.0,70.0,long_term
Ochlandra,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,5.5,6.5,20.0,30.0,70.0,90.0,2000.0,3000.0,60.0,80.0,long_term
Aloe Barbad.,sandy,40.0,60.0,40.0,60.0,40.0,60.0,7.0,8.5,25.0,40.0,30.0,40.0,300.0,500.0,20.0,30.0,year_round
Agave Sisal.,sandy,30.0,50.0,20.0,30.0,30.0,40.0,6.0,8.0,25.0,40.0,30.0,50.0,300.0,800.0,20.0,40.0,year_round
Sansevieria,sandy_loam,20.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,20.0,35.0,40.0,60.0,500.0,1000.0,30.0,50.0,year_round
Vanilla Plan.,loamy,50.0,80.0,30.0,50.0,50.0,80.0,6.0,7.0,25.0,30.0,80.0,90.0,2000.0,3000.0,70.0,90.0,year_round
Piper Nigrum,red_laterite,100.0,120.0,40.0,50.0,120.0,140.0,5.5,6.5,20.0,30.0,70.0,90.0,2000.0,3000.0,70.0,90.0,year_round
Piper Longum,loamy,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,25.0,35.0,70.0,90.0,1500.0,2500.0,60.0,80.0,year_round
Piper Betle,clay_loam,100.0,150.0,50.0,70.0,50.0,70.0,6.5,7.5,25.0,35.0,70.0,90.0,1500.0,2000.0,70.0,90.0,year_round
Elettaria Ca.,peaty,80.0,100.0,80.0,100.0,150.0,200.0,5.0,6.5,15.0,25.0,75.0,90.0,1500.0,4000.0,70.0,90.0,year_round
Syzygium Ar.,black,200.0,250.0,200.0,250.0,400.0,500.0,5.5,7.0,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Myristica Fr.,clay_loam,200.0,250.0,100.0,150.0,200.0,250.0,6.0,7.0,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Cinnamomum V.,red_laterite,200.0,250.0,100.0,150.0,100.0,150.0,5.0,6.5,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Cinnamomum T.,loamy,100.0,150.0,50.0,80.0,50.0,80.0,6.0,7.0,20.0,30.0,60.0,80.0,1500.0,2000.0,50.0,70.0,year_round
Illicium Ve.,peaty,80.0,100.0,40.0,50.0,60.0,80.0,5.5,6.5,15.0,25.0,70.0,90.0,1500.0,2500.0,60.0,80.0,year_round
Murraya Koe.,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.0,25.0,35.0,50.0,60.0,800.0,1000.0,50.0,70.0,year_round
Mentha Spica.,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1000.0,60.0,80.0,year_round
Cymbopogon C.,red_laterite,100.0,120.0,40.0,50.0,40.0,50.0,5.5,7.5,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Cymbopogon M.,sandy_loam,100.0,120.0,40.0,50.0,40.0,50.0,5.8,6.5,20.0,30.0,70.0,80.0,1500.0,2000.0,60.0,80.0,year_round
Coriandrum S.,loamy,30.0,40.0,30.0,40.0,20.0,30.0,6.0,7.0,15.0,25.0,50.0,60.0,400.0,500.0,40.0,60.0,rabi
Cuminum Cymi.,sandy_loam,30.0,40.0,20.0,30.0,15.0,20.0,7.0,8.0,15.0,25.0,40.0,50.0,200.0,300.0,30.0,50.0,rabi
Foeniculum V.,loamy,60.0,80.0,40.0,50.0,40.0,50.0,6.5,8.0,15.0,25.0,40.0,50.0,300.0,500.0,30.0,50.0,rabi
Trigonella F.,clay_loam,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.0,15.0,25.0,50.0,60.0,300.0,400.0,40.0,60.0,rabi
Brassica Jun.,sandy_loam,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,60.0,300.0,450.0,30.0,50.0,rabi
Sesamum Ind.,sandy_loam,30.0,40.0,20.0,30.0,20.0,30.0,5.5,8.0,25.0,35.0,50.0,60.0,400.0,600.0,30.0,50.0,kharif/zaid
Ricinus Com.,loamy,40.0,60.0,30.0,40.0,20.0,30.0,5.0,6.5,20.0,30.0,40.0,60.0,500.0,700.0,40.0,60.0,kharif
Arachis Hyp.,sandy_loam,20.0,30.0,40.0,60.0,60.0,80.0,6.0,6.5,25.0,30.0,50.0,70.0,500.0,700.0,40.0,60.0,kharif/rabi
Glycine Max,loamy,20.0,30.0,60.0,80.0,40.0,60.0,6.0,6.5,20.0,30.0,50.0,70.0,600.0,800.0,45.0,65.0,kharif
Helianthus A.,black,60.0,80.0,40.0,60.0,40.0,60.0,6.5,8.0,20.0,30.0,50.0,60.0,500.0,700.0,40.0,60.0,kharif/rabi
Carthamus T.,black,40.0,60.0,20.0,30.0,20.0,30.0,6.5,7.5,15.0,25.0,40.0,50.0,300.0,450.0,30.0,50.0,rabi
Linum Usita.,clay_loam,40.0,50.0,20.0,30.0,20.0,30.0,5.0,7.0,15.0,25.0,40.0,50.0,450.0,600.0,35.0,50.0,rabi
Gossypium H.,black,80.0,120.0,40.0,60.0,40.0,60.0,5.8,8.0,21.0,30.0,50.0,70.0,500.0,700.0,40.0,60.0,kharif
Corchorus C.,clay_loam,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,24.0,35.0,70.0,90.0,1500.0,2000.0,70.0,90.0,kharif
Hibiscus Ca.,clay_loam,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,25.0,35.0,60.0,80.0,800.0,1200.0,50.0,70.0,kharif
Crotalaria J.,sandy_loam,10.0,20.0,30.0,40.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,1000.0,40.0,60.0,kharif
Sesbania Bi.,clay,10.0,20.0,30.0,40.0,20.0,30.0,6.0,8.5,25.0,35.0,50.0,80.0,600.0,1200.0,50.0,80.0,kharif
Vigna Tril.,clay_loam,10.0,20.0,20.0,30.0,10.0,20.0,6.5,8.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Centrosema M.,loamy,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Calopogonium M,clay_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Pueraria Pha.,loamy,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Mucuna Prur.,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,kharif
Panicum Max.,loamy,100.0,120.0,40.0,50.0,40.0,50.0,5.5,7.0,25.0,35.0,60.0,80.0,800.0,1500.0,50.0,70.0,year_round
Brachiaria M.,clay,100.0,120.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,70.0,90.0,1000.0,2000.0,70.0,90.0,year_round
Chloris Gay.,sandy_loam,80.0,100.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,500.0,1000.0,30.0,50.0,year_round
Panicum Ant.,sandy,60.0,80.0,20.0,30.0,20.0,30.0,6.5,8.5,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,year_round
Pennisetum P.,loamy,80.0,100.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Sorghum Sud.,loamy,80.0,100.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,400.0,800.0,30.0,50.0,kharif
Zea Mexicana,clay_loam,100.0,120.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,50.0,70.0,kharif
Coix Lacryma,loamy,60.0,80.0,30.0,40.0,30.0,40.0,5.5,7.0,20.0,30.0,60.0,80.0,1000.0,2000.0,60.0,80.0,kharif
Dichanthium A,clay_loam,60.0,80.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,35.0,40.0,60.0,500.0,800.0,30.0,50.0,year_round
Heteropogon C,sandy,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Chrysopogon F,sandy_loam,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Cenchrus Cili,sandy,40.0,60.0,20.0,30.0,20.0,30.0,6.5,8.5,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,year_round
Lasiurus Sin,sandy,40.0,60.0,10.0,20.0,10.0,20.0,7.0,8.5,25.0,45.0,20.0,40.0,100.0,400.0,10.0,30.0,year_round
Sehima Nervo,sandy_loam,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Iseilema Lax,loamy,40.0,60.0,10.0,20.0,10.0,20.0,6.0,7.5,25.0,35.0,40.0,60.0,500.0,1000.0,30.0,50.0,year_round
Medicago Sat,loamy,20.0,30.0,80.0,100.0,40.0,60.0,6.5,7.5,15.0,25.0,40.0,60.0,500.0,800.0,40.0,60.0,rabi
Trifolium Al,clay,20.0,30.0,60.0,80.0,30.0,40.0,6.5,8.0,15.0,25.0,50.0,60.0,400.0,600.0,50.0,70.0,rabi
Vigna Ungui,sandy_loam,15.0,20.0,30.0,40.0,15.0,20.0,5.5,6.5,20.0,30.0,50.0,60.0,400.0,600.0,40.0,60.0,kharif/zaid
Cyamopsis T,sandy_loam,20.0,30.0,40.0,50.0,20.0,30.0,7.0,8.0,25.0,35.0,40.0,50.0,300.0,400.0,30.0,50.0,kharif
Vigna Radia,loamy,15.0,20.0,30.0,40.0,15.0,20.0,6.5,7.5,25.0,35.0,50.0,60.0,400.0,600.0,35.0,50.0,kharif/zaid
Vigna Mungo,black,20.0,25.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,60.0,70.0,400.0,600.0,30.0,50.0,kharif/rabi
Cajanus Cajan,loamy,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.5,20.0,30.0,50.0,60.0,600.0,800.0,40.0,60.0,kharif
Cicer Arieti,black,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,15.0,25.0,40.0,50.0,300.0,450.0,30.0,50.0,rabi
Macrotyloma,sandy_loam,10.0,15.0,20.0,30.0,10.0,15.0,5.0,7.5,25.0,30.0,40.0,50.0,300.0,400.0,30.0,50.0,kharif/rabi
Lablab Purp,clay_loam,20.0,30.0,50.0,60.0,40.0,50.0,6.0,7.0,20.0,30.0,60.0,70.0,600.0,900.0,50.0,70.0,kharif/rabi
Phaseolus V,loamy,40.0,50.0,60.0,80.0,40.0,50.0,5.5,6.5,15.0,25.0,60.0,70.0,500.0,700.0,50.0,70.0,kharif/rabi
Pisum Sativ,loamy,20.0,30.0,50.0,60.0,40.0,50.0,6.0,7.5,15.0,20.0,50.0,60.0,400.0,600.0,40.0,60.0,rabi
Lens Culina,clay_loam,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,15.0,25.0,40.0,50.0,300.0,450.0,30.0,50.0,rabi
Lathyrus Sa,clay,10.0,20.0,20.0,30.0,10.0,20.0,6.0,7.5,15.0,25.0,40.0,50.0,300.0,500.0,30.0,50.0,rabi
Fagopyrum E,sandy_loam,40.0,50.0,20.0,30.0,20.0,30.0,5.5,6.5,15.0,25.0,50.0,70.0,600.0,1000.0,40.0,60.0,hills/sum
Chenopodium,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,60.0,300.0,600.0,30.0,50.0,rabi
Amaranthus C,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,20.0,30.0,50.0,70.0,400.0,800.0,40.0,60.0,kharif
Salvia Hisp,sandy_loam,30.0,50.0,20.0,30.0,20.0,30.0,6.0,7.5,20.0,30.0,40.0,60.0,400.0,800.0,30.0,50.0,kharif/rabi
Nelumbo Nuc,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Nymphaea Nuc,peaty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Aponogeton,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Trapa Natans,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,kharif
Euryale Fero,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,kharif
Ipomoea Aqua,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Nasturtium O,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.5,7.5,15.0,25.0,80.0,100.0,600.0,1000.0,100.0,100.0,hills/winter
Colocasia E,clay_loam,80.0,100.0,40.0,60.0,80.0,100.0,5.5,7.0,25.0,30.0,70.0,80.0,1000.0,1500.0,70.0,90.0,kharif
Typha Angu,peaty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Phragmites K,peaty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,40.0,70.0,90.0,600.0,1000.0,100.0,100.0,year_round
Schoenoplect,peaty,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Cyperus Cory,silty,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,80.0,100.0,600.0,1000.0,100.0,100.0,year_round
Pandanus Fac,sandy,40.0,50.0,20.0,30.0,40.0,50.0,6.5,8.0,25.0,35.0,70.0,90.0,1500.0,2500.0,60.0,80.0,year_round
Nypa Frutica,clay,20.0,40.0,10.0,20.0,20.0,30.0,6.5,8.5,25.0,35.0,80.0,100.0,600.0,1000.0,80.0,100.0,long_term
Avicennia Ma,clay,10.0,20.0,10.0,20.0,10.0,20.0,7.0,8.5,25.0,35.0,80.0,100.0,600.0,1000.0,80.0,100.0,long_term
Holy Basil (Vana),sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Camphor Basil,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Lemon Basil,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Sweet Flag (Wild),clay_loam,30.0,40.0,20.0,30.0,20.0,30.0,5.5,7.0,20.0,30.0,70.0,90.0,1000.0,2000.0,70.0,90.0,kharif
Winter Cherry,sandy_loam,20.0,30.0,20.0,30.0,10.0,20.0,7.5,8.0,25.0,35.0,40.0,50.0,500.0,700.0,30.0,40.0,kharif
Indian Madder,loamy,40.0,60.0,30.0,40.0,40.0,50.0,6.0,7.5,20.0,30.0,60.0,80.0,1000.0,1500.0,50.0,70.0,year_round
Long Pepper(Wild),loamy,60.0,80.0,40.0,50.0,60.0,80.0,6.0,7.0,25.0,35.0,70.0,90.0,1500.0,2000.0,60.0,80.0,year_round
Black Musli,sandy_loam,30.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,1500.0,50.0,70.0,kharif
Safed Musli,sandy_loam,40.0,50.0,30.0,40.0,30.0,40.0,6.5,7.5,25.0,35.0,50.0,70.0,800.0,1200.0,40.0,60.0,kharif
Coleus Forskohlii,sandy_loam,30.0,40.0,40.0,50.0,40.0,50.0,5.5,7.0,20.0,30.0,60.0,70.0,800.0,1200.0,50.0,60.0,kharif
Indian Squill,sandy,20.0,30.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,rabi
Glory Lily,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Plumbago,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,year_round
Rauvolfia,loamy,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,70.0,kharif
Tinospora,red_laterite,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,1500.0,50.0,60.0,year_round
Gymnema,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,year_round
Cissus Quadran.,sandy,20.0,30.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,40.0,40.0,50.0,300.0,600.0,20.0,30.0,year_round
Hemidesmus Ind.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,50.0,year_round
Aloe Vera (Medic),sandy,40.0,50.0,40.0,50.0,40.0,50.0,7.0,8.5,25.0,40.0,30.0,40.0,300.0,500.0,20.0,30.0,year_round
Cassia Senna,sandy,40.0,50.0,20.0,30.0,20.0,30.0,7.0,8.5,25.0,40.0,30.0,40.0,300.0,500.0,20.0,30.0,kharif
Cassia Alata,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,5.5,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,60.0,year_round
Cassia Fistula,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,40.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Terminalia Bel.,loamy,30.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,50.0,long_term
Terminalia Che.,rocky/dry,30.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1000.0,30.0,40.0,long_term
Phyllanthus Emb.,clay,50.0,70.0,30.0,40.0,40.0,50.0,6.5,8.0,25.0,35.0,40.0,50.0,600.0,800.0,30.0,40.0,long_term
Phyllanthus Am.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,1000.0,40.0,50.0,kharif
Eclipta Prostr.,clay_loam,30.0,40.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,70.0,80.0,1000.0,1500.0,60.0,80.0,year_round
Centella Asiat.,loamy,40.0,60.0,20.0,30.0,20.0,30.0,5.5,7.0,25.0,35.0,70.0,90.0,1000.0,2000.0,70.0,90.0,year_round
Bacopa Monnieri,peaty,30.0,40.0,20.0,30.0,20.0,30.0,5.5,7.0,25.0,35.0,80.0,100.0,600.0,1000.0,80.0,100.0,year_round
Indigofera Tin.,red_laterite,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Tephrosia Purp.,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,kharif
Justicia Adhat.,sandy,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,50.0,year_round
Boerhavia Diff.,sandy,10.0,20.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,40.0,60.0,400.0,800.0,30.0,50.0,year_round
Cardiospermum,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,800.0,40.0,50.0,kharif
Solanum Trilo.,sandy_loam,40.0,50.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,800.0,40.0,50.0,perennial
Solanum Nigrum,loamy,50.0,60.0,30.0,40.0,30.0,40.0,6.0,7.0,25.0,35.0,50.0,70.0,500.0,800.0,50.0,60.0,year_round
